freeze_horizon_slots,w_delay,w_shift,w_switch,avg_delay,avg_drift,combined_score,num_episodes,avg_solve_time_ms
12,20.0,0.2,0,0.0,0.040893526088830574,0.20446763044415286,60,15.174584603570695
12,20.0,0.2,60,0.0,0.0006385617548435562,0.003192808774217781,60,15.120846587726158
12,20.0,0.2,180,0.020657894736842104,0.0006667869330542982,0.023991829402113595,60,15.14421432042545
12,20.0,0.2,600,0.24033726765150912,0.0006215399130805083,0.24344496721691167,60,15.117078412536708
12,20.0,1.0,0,0.0,0.039712249280497124,0.19856124640248562,60,15.143271492568804
12,20.0,1.0,60,0.0,0.0006233813686646945,0.0031169068433234723,60,15.184410207330819
12,20.0,1.0,180,0.004166666666666667,0.0006619973056089485,0.007476653194711409,60,15.045558784614633
12,20.0,1.0,600,0.1820039343181758,0.0006518636577196499,0.18526325260677404,60,15.17531045644053
12,20.0,2.0,0,0.0,0.04122967516449504,0.20614837582247522,60,15.222724650932062
12,20.0,2.0,60,0.0,0.0006233431466837602,0.0031167157334188013,60,15.005816376523184
12,20.0,2.0,180,0.01011904761904762,0.000632233289312194,0.01328021406560859,60,15.115363508445288
12,20.0,2.0,600,0.18462298193722343,0.0006398338738644692,0.18782215130654578,60,15.137305248019969
12,50.0,0.0,0,0.0,0.04368806296757891,0.21844031483789456,60,15.066748729040409
12,50.0,0.0,60,0.0,0.0012182140062132365,0.006091070031066183,60,14.89511476493961
12,50.0,0.0,180,0.004166666666666667,0.0012109949409580074,0.010221641371456704,60,14.987238267852202
12,50.0,0.0,600,0.06442893850788588,0.0013083720050995314,0.07097079853338353,60,15.065446240861315
12,50.0,0.2,0,0.0,0.04072741852810415,0.20363709264052077,60,15.106666614498415
12,50.0,0.2,60,0.0,0.0006233192281731939,0.003116596140865969,60,14.955408648352254
12,50.0,0.2,180,0.004166666666666667,0.0006416102539434013,0.007374717936383673,60,15.077108223966961
12,50.0,0.2,600,0.05702153110047847,0.0006539802893956819,0.060291432547456884,60,15.128332370729959
12,50.0,1.0,0,0.0,0.04068463669306419,0.20342318346532096,60,15.094736345388197
12,50.0,1.0,60,0.0,0.000624063765942188,0.00312031882971094,60,15.105512112390723
12,50.0,1.0,180,0.004166666666666667,0.0006148399645401331,0.0072408664893673326,60,15.12529084677454
12,50.0,1.0,600,0.05702153110047847,0.0006530300722031806,0.06028668146149438,60,15.009710788810766
12,50.0,2.0,0,0.0,0.041081246557597303,0.20540623278798653,60,15.099081693613533
12,50.0,2.0,60,0.0,0.0006211541029593867,0.0031057705147969337,60,15.076178149343097
12,50.0,2.0,180,0.0,0.000622017843757377,0.0031100892187868852,60,15.033768485959056
12,50.0,2.0,600,0.020657894736842104,0.0006571078080438345,0.023943433777061277,60,15.104884337069713
36,5.0,0.0,0,0.0,0.042228509169648404,0.21114254584824202,60,15.19123297302568
36,5.0,0.0,60,0.11067257046359215,0.001178317568529524,0.11656415830623977,60,15.016174988759397
36,5.0,0.0,180,0.33438866917969085,0.0011858733093417062,0.3403180357263994,60,14.977296667882012
36,5.0,0.0,600,0.400714205242069,0.0013322274266032387,0.4073753423750852,60,15.032724855640424
36,5.0,0.2,0,0.0,0.03879536105030967,0.19397680525154834,60,15.145840156341313
36,5.0,0.2,60,0.07041961521450686,0.0007085057780439641,0.07396214410472668,60,15.101715845451958
36,5.0,0.2,180,0.3371638867381901,0.0007419327136076218,0.3408735503062282,60,15.081674065388954
36,5.0,0.2,600,0.4651792376153831,0.0007654814205863089,0.46900664471831466,60,15.001949932136746
36,5.0,1.0,0,0.0,0.03859543047391638,0.1929771523695819,60,15.183838215735864
36,5.0,1.0,60,0.023276942355889726,0.0007131368601229388,0.026842626656504418,60,15.213685340789995
