seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s,llm_calls,llm_time_total_ms,llm_latency_total_ms,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_cache_hit_rate,llm_fallback_count,solver_time_total_ms,wall_time_total_ms
7,light,fixed_default,train,15,15,1.0,0.0,0,0.0,0,0,49,0,15.387755102040817,0.768007755279541,0,0,0,0,0,0,0.0,0,754,768
7,light,mockllm,train,15,15,1.0,0.0,0,0.0,0,0,49,0,14.938775510204081,0.7700157165527344,49,0,0,0,0,0,0.0,0,732,771
9,light,greedy,train,16,17,1.0,0.0,0,0.0,0,0,72,0,0.0,0.007024049758911133,0,0,0,0,0,0,0.0,0,0,7
8,light,fixed_tuned,train,13,13,1.0,0.0,0,0.0007246376811594203,0,1,46,1,15.0,0.7098278999328613,0,0,0,0,0,0,0.0,0,690,709
8,light,fixed_default,train,13,13,1.0,0.0,0,0.0007246376811594203,0,1,46,1,15.043478260869565,0.7098269462585449,0,0,0,0,0,0,0.0,0,692,709
8,light,nofreeze,train,13,13,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.978260869565217,0.7068169116973877,0,0,0,0,0,0,0.0,0,689,707
8,light,mockllm,train,13,13,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.434782608695652,0.7102079391479492,46,0,0,0,0,0,0.0,0,664,710
10,light,greedy,train,18,19,1.0,0.0,0,0.0003628027065527065,1,1,72,1,0.0,0.007781505584716797,0,0,0,0,0,0,0.0,0,0,7
9,light,fixed_default,train,17,17,1.0,0.0,0,6.89519306540583e-05,1,0,47,1,14.617021276595745,0.7084558010101318,0,0,0,0,0,0,0.0,0,687,708
9,light,fixed_tuned,train,17,17,1.0,0.0,0,6.89519306540583e-05,1,0,47,1,14.829787234042554,0.7184910774230957,0,0,0,0,0,0,0.0,0,697,718
9,light,nofreeze,train,17,17,1.0,0.0,0,6.89519306540583e-05,1,0,47,1,14.595744680851064,0.7084558010101318,0,0,0,0,0,0,0.0,0,686,708
9,light,mockllm,train,17,17,1.0,0.0,0,0.0010638297872340426,0,1,47,1,14.48936170212766,0.7302031517028809,47,0,0,0,0,0,0.0,0,681,731
